method,path,current_permission,expected_permission,file,line
POST,/auth/send-verification-otp,public,auth.edit,auth.py,115
POST,/presigned,,upload.edit,upload.py,20
GET,/files,,upload.view,upload.py,91
DELETE,/files,,upload.delete,upload.py,121
GET,/users,team.view,users.view,users.py,21
POST,/users,team.create,users.edit,users.py,45
GET,/roles,team.view,role:read,roles.py,11
POST,/roles,team.permissions,role:write,roles.py,27
PUT,/roles/<role_id>,team.permissions,role:write,roles.py,66
DELETE,/roles/<role_id>,team.permissions,role:write,roles.py,109
POST,/roles/<role_id>/permissions,team.permissions,role:write,roles.py,139
DELETE,/roles/<role_id>/permissions/<permission_id>,team.permissions,role:write,roles.py,179
POST,/sales,sales.edit,sales.create,sales_monolithic_backup.py,513
GET,/apps,settings.view,admin.apps.view,apps.py,16
POST,/apps,settings.edit,admin.apps.edit,apps.py,28
POST,/api/EFatura/sendDocument,invoices.send,integration.birfatura.edit,birfatura.py,51
POST,/api/EFatura/sendBasicInvoice,invoices.send,integration.birfatura.edit,birfatura.py,81
POST,/api/OutEBelgeV2/SendDocument,invoices.send,integration.birfatura.edit,birfatura.py,146
POST,/api/OutEBelgeV2/SendBasicInvoiceFromModel,invoices.send,integration.birfatura.edit,birfatura.py,161
POST,/api/birfatura/sync-invoices,invoices.view,integration.birfatura.sync,birfatura.py,176
GET,/admin/sms/packages,platform.sms_packages.read,admin.sms.view,sms_integration.py,521
POST,/admin/sms/packages,platform.sms_packages.manage,admin.sms.edit,sms_integration.py,543
PUT,/admin/sms/packages/<pkg_id>,platform.sms_packages.manage,admin.sms.edit,sms_integration.py,564
GET,/admin/sms/headers,platform.sms_headers.read,admin.sms.view,sms_integration.py,582
PUT,/admin/sms/headers/<header_id>/status,platform.sms_headers.manage,admin.sms.edit,sms_integration.py,616
GET,/tenant/users,tenant_users.view,users.view,tenant_users.py,53
POST,/tenant/users,tenant_users.edit,users.edit,tenant_users.py,85
DELETE,/tenant/users/<user_id>,tenant_users.delete,users.delete,tenant_users.py,146
PUT,/tenant/users/<user_id>,tenant_users.edit,users.edit,tenant_users.py,178
GET,/tenant/company,tenant_users.view,users.view,tenant_users.py,249
PUT,/tenant/company,tenant_users.edit,users.edit,tenant_users.py,288
POST,/tenant/company/upload/<asset_type>,tenant_users.edit,users.edit,tenant_users.py,340
DELETE,/tenant/company/upload/<asset_type>,tenant_users.delete,users.delete,tenant_users.py,505
GET,/tenant/assets/<tenant_id>/<filename>,,users.view,tenant_users.py,566
GET,/api/tenant/company/assets/<asset_type>/url,settings.view,users.view,tenant_users.py,612
GET,/permissions,team.permissions,role:read,permissions.py,30
GET,/permissions/role/<role_name>,team.permissions,role:read,permissions.py,128
PUT,/permissions/role/<role_name>,team.permissions,role:write,permissions.py,142
GET,/paytr/config,settings.integrations,pos.view,payment_integrations.py,37
PUT,/paytr/config,settings.integrations,pos.edit,payment_integrations.py,61
GET,/transactions,finance.view,admin.payments.view,payment_integrations.py,319
POST,/installment-options,finance.view,pos.view,pos_commission.py,229
GET,/patients/<patient_id>/sales,sales.view,patients.view,read.py,323
GET,/sales/<sale_id>/payments,finance.view,sales.view,payments.py,21
POST,/sales/<sale_id>/payments,finance.payments,sales.edit,payments.py,86
GET,/sales/<sale_id>/payment-plan,finance.view,sales.view,payments.py,141
DELETE,/api/suppliers/<int:supplier_id>,suppliers.edit,suppliers.delete,write.py,171
DELETE,/api/suppliers/suggested/<int:suggested_id>,suppliers.edit,suppliers.delete,suggested.py,144
GET,/api/products/<product_id>/suppliers,suppliers.view,inventory.view,products.py,21
POST,/api/products/<product_id>/suppliers,suppliers.edit,inventory.edit,products.py,75
DELETE,/api/product-suppliers/<int:ps_id>,suppliers.edit,suppliers.delete,products.py,195
OPTIONS,/sales/<sale_id>/invoice,,invoices.edit,sales.py,28
POST,/categories,inventory.manage,inventory.edit,metadata.py,48
POST,/brands,inventory.manage,inventory.edit,metadata.py,110
